지역,위도,경도,고도,중력,부게 이상,돌멩이,밀도
강원도 강릉시,37.34,128.52,77,979982.227,32.49,섬록암,2.9
강원도 영월읍,37.1,128.27,203,979864.377,-11.36,석회암,2.56
강원도 원주시,37.2,127.56,162,979886.06,-17,화강암,2.75
강원도 인제군,38.04,128.1,215,979934.604,-14.74,화강암,2.75
강원도 태백시,37.09,128.59,707,979767.558,-2.31,석회암,1.3
강원도 화천군,38.06,127.42,104,979897.317,-10.89,화강암,2.75
경기도 광명시,37.28,126.51,41,979943.9,14.59,편마암,2.7
경기도 군포시,37.21,126.56,62,979931.2,3.67,편마암,2.7
경기도 김포시,37.36,126.42,54,979971.6,16.98,편마암,2.7
경기도 부천시,37.3,126.45,21,979954.4,7.19,화강암,2.75
경기도 성남시,37.26,127.08,64,979923.5,3.21,편마암,2.7
경기도 수원시,37.15,127.01,51,979918.368,-0.75,화강암,2.75
경기도 시흥시,37.22,126.48,83,979935.1,11.19,편마암,2.7
경기도 안산시,37.19,126.49,20,979945.5,11.04,편마암,2.7
경기도 의왕시,37.2,126.58,93,979919.4,1.86,편마암,2.7
경기도 이천시,37.16,127.26,88,979898.2,-11.12,화강암,2.75
경기도 평택시,36.59,127.06,22,979917.6,9.53,편마암,2.7
경기도 화성시,37.11,126.49,56,979910,5.44,편마암,2.7
경상남도 거제시,34.52,128.37,42,979753.672,23.62,안산암,2.6
경상남도 거창군,35.41,127.54,204,979717.127,-23.18,화강암,2.75
경상남도 김해시,35.13,128.53,21,979761.9,15.3,화강암,2.75
경상남도 양산시,35.2,129.02,23,979777.7,19.33,안산암,2.6
경상남도 진주시,35.1,128.06,37,979761.2,16.6,"사암, 석회암, 셰일",2.56
경상남도 진해시,35.07,128.42,95,979771.9,21.6,화강암,2.75
경상남도 창원시,35.13,128.38,20,979755.1,25.93,화강암,2.75
경상북도 경산시,35.49,128.44,60,979807.646,17.95,"셰일, 석회암",2.56
경상북도 구미시,36.07,128.2,58,979945,9.92,"사암, 석회암, 셰일",2.56
경상북도 안동시,36.34,128.43,111,979849.255,8.53,화강암,2.75
경상북도 울릉군,37.29,130.54,204,980032.762,,"응회암, 사암",2.9
경상북도 울진군,36.59,129.24,44,979940.082,29.23,편암,2.56
경상북도 포항시,36.01,129.2,21,979855.702,60.05,조면암,2.75
광주광역시 광산구,35.08,126.47,20,979957.4,-0.53,화강암,2.75
광주광역시 동구,35.08,126.5,56,979745.58,6.84,화강암,2.56
광주광역시 북구,35.1,126.54,42,979741.5,7.1,안산암,2.75
대구광역시 달서구,35.49,128.31,50,979814.6,18.58,"셰일, 사암",2.7
대전광역시 유성구,36.21,127.21,52,979845.1,-4.48,화강암,2.7
부산광역시 강서구,35.12,128.58,25,979758.1,13.39,화강암,2.7
부산광역시 동구,35.08,129.03,14,979762.2,25.14,화강암,2.75
부산광역시 북구,35.11,128.59,7,979768.5,17.74,화강암,2.7
부산광역시 사상구,35.09,128.59,14,979760,17.29,화강암,2.75
부산광역시 중구,35.06,129.01,58,979766,27.26,안산암,2.7
부산광역시 해운대구,35.09,129.09,14,979765.8,25.29,안산암,2.7
서울특별시 강서구,37.32,126.5,20,979956.9,11.08,편마암,2.7
서울특별시 구로구,37.29,126.53,21,979950.2,12.62,편마암,2.75
서울특별시 금천구,37.27,126.54,26,979948.1,12.13,편마암,2.7
서울특별시 서초구,37.28,127.01,77,979935.4,-2.23,편마암,2.7
서울특별시 성동구,37.33,127.02,25,979943.4,-7.84,화강암,2.6
서울특별시 영등포구,37.31,126.53,20,979955.5,6.9,편마암,2.75
세종특별자치시,36.28,127.17,22,979830.105,1.45,화강암,2.75
인천광역시 남동공단,37.24,126.41,9,979905.5,13.77,화강암,2.6
인천광역시 부평구,37.3,126.43,14,979938.1,11.39,화강암,2.56
인천광역시 연수구,37.24,126.4,13,979940.9,14.65,화강암,2.75
전라남도 나주시,35,126.42,41,979732.9,3.88,화강암,2.75
전라남도 진도군,34.29,126.15,123,979834.317,14.5,화강암,2.56
전라북도 군산시,35.58,126.44,8,979834.317,14.18,편마암,2.56
전라북도 완주군,35.53,127.15,279,979805.1,-0.03,석영반암,2.75
전라북도 전주시,35.49,127.08,49,979804,-5.88,화강암,2.9
제주특별자치도 제주시,33.29,126.31,67,979680.8,,현무암,2.56
충청남도 논산시,36.11,127.05,24,979827.5,2.85,화강암,2.75
충청남도 서산시,36.47,126.27,41,979880.697,2.98,화강암,2.75
충청남도 아산시,36.47,127,29,979883.9,2.61,편마암,2.56
충청남도 천안시,36.48,127.06,85,979884.2,5.8,화강암,2.75
충청북도 진천군,36.51,127.26,89,979872.1,-4.59,화강암,
충청북도 청주시,36.38,127.29,52,979868.5,9.32,화강암,
